day_of_year,is_daylight,distance_to_solar_noon,average_temperature_day,average_wind_direction_day,average_wind_speed_day,sky_cover,visibility,relative_humidity,average_wind_speed_period,average_barometric_pressure_period,power_generated_kw,first_hour_of_period_sin,first_hour_of_period_cos,day_of_year_sin,day_of_year_cos,distance_to_noon_squared,solar_potential
245,0,0.859897172,69,28,7.5,0,10.0,75,8.0,29.82,0,0.25881904510252074,0.9659258262890683,-0.8744809578310394,-0.4850598461951967,0.7394231464135976,0.2466038541905755
245,0,0.628534704,69,28,7.5,0,10.0,77,5.0,29.85,0,0.8660254037844386,0.5000000000000001,-0.8744809578310394,-0.4850598461951967,0.3950558741323676,0.44931133754087116
245,1,0.397172237,69,28,7.5,0,10.0,70,0.0,29.89,5418,0.9659258262890683,-0.25881904510252063,-0.8744809578310394,-0.4850598461951967,0.15774578584358415,0.6520188200150201
245,1,0.165809769,69,28,7.5,0,10.0,33,0.0,29.91,25477,0.49999999999999994,-0.8660254037844387,-0.8744809578310394,-0.4850598461951967,0.02749287949583336,0.8547263033653156
245,1,0.065552699,69,28,7.5,0,10.0,21,3.0,29.89,30069,-0.2588190451025208,-0.9659258262890683,-0.8744809578310394,-0.4850598461951967,0.004297156346184602,0.9425662132843887
245,1,0.296915167,69,28,7.5,0,10.0,20,23.0,29.85,16280,-0.8660254037844385,-0.5000000000000004,-0.8744809578310394,-0.4850598461951967,0.08815861639463787,0.7398587299340931
245,1,0.528277635,69,28,7.5,0,10.0,36,15.0,29.83,515,-0.9659258262890684,0.2588190451025203,-0.8744809578310394,-0.4850598461951967,0.27907725964119323,0.5371512465837974
245,0,0.759640103,69,28,7.5,0,10.0,49,6.0,29.86,0,-0.5000000000000004,0.8660254037844384,-0.8744809578310394,-0.4850598461951967,0.5770530860858505,0.3344437632335019
246,0,0.862113402,72,29,6.8,0,10.0,67,6.0,29.86,0,0.25881904510252074,0.9659258262890683,-0.8826787983255475,-0.4699767430273199,0.7432395179080136,0.2446621113931854
246,0,0.630154639,72,29,6.8,0,10.0,49,0.0,29.87,0,0.8660254037844386,0.5000000000000001,-0.8826787983255475,-0.4699767430273199,0.39709486905322033,0.44789203669281374
246,1,0.398195876,72,29,6.8,0,10.0,54,0.0,29.9,4939,0.9659258262890683,-0.25881904510252063,-0.8826787983255475,-0.4699767430273199,0.1585599556634074,0.6511219619924422
246,1,0.166237113,72,29,6.8,0,10.0,64,0.0,29.92,24335,0.49999999999999994,-0.8660254037844387,-0.8826787983255475,-0.4699767430273199,0.027634777738574767,0.8543518872920706
246,1,0.065721649,72,29,6.8,0,10.0,23,9.0,29.88,29025,-0.2588190451025208,-0.9659258262890683,-0.8826787983255475,-0.4699767430273199,0.0043193351472792,0.9424181882844478
246,1,0.297680412,72,29,6.8,0,10.0,30,18.0,29.84,15408,-0.8660254037844385,-0.5000000000000004,-0.8826787983255475,-0.4699767430273199,0.08861362768848975,0.7391882629848194
246,1,0.529639175,72,29,6.8,0,10.0,65,11.0,29.84,491,-0.9659258262890684,0.2588190451025203,-0.8826787983255475,-0.4699767430273199,0.2805176556946806,0.5359583376851909
246,0,0.761597938,72,29,6.8,0,10.0,75,5.0,29.85,0,-0.5000000000000004,0.8660254037844384,-0.8826787983255475,-0.4699767430273199,0.5800314191658518,0.3327284123855625
247,0,0.86545925,73,29,7.9,0,10.0,72,6.0,29.84,0,0.25881904510252074,0.9659258262890683,-0.8906165093267404,-0.45475513555610575,0.7490197134105625,0.24173065741270383
247,0,0.632600259,73,29,7.9,0,10.0,78,6.0,29.86,0,0.8660254037844386,0.5000000000000001,-0.8906165093267404,-0.45475513555610575,0.40018308768686717,0.445749314583577
247,1,0.399741268,73,29,7.9,0,10.0,63,0.0,29.88,4854,0.9659258262890683,-0.25881904510252063,-0.8906165093267404,-0.45475513555610575,0.15979308134224782,0.6497679717544504
247,1,0.166882277,73,29,7.9,0,10.0,69,3.0,29.88,23855,0.49999999999999994,-0.8660254037844387,-0.8906165093267404,-0.45475513555610575,0.027849694376704728,0.8537866289253238
247,1,0.065976714,73,29,7.9,0,10.0,33,10.0,29.84,28339,-0.2588190451025208,-0.9659258262890683,-0.8906165093267404,-0.45475513555610575,0.004352926790237797,0.942194713903803
